variantId,boards,rank,tcg,name,set,collectorNumber,tier,missingImage,nonStdCanvas,reachableViaCurrentOpaqueId,onDiskDims,packImageDims,qcVersion
179,tcg300,163,pokemon,Mew,S8a: 25th Anniversary Collection,030/028,C_drift_nonstd,False,True,False,565x800,565x800,raw-front-v3
181,tcg300,151,pokemon,Erika's Hospitality,SM12a: TAG TEAM GX: Tag All Stars,190/173,C_drift_nonstd,False,True,False,716x999,716x999,raw-front-v3
182,tcg300,153,pokemon,Leafeon ex,SV8a: Terastal Fest ex,200/187,C_drift_nonstd,False,True,False,716x1000,716x1000,raw-front-v3
183,tcg300,155,pokemon,Lillie's Full Force,SM11b: Dream League,068/049,C_drift_nonstd,False,True,False,716x996,716x996,raw-front-v3
184,tcg300,147,pokemon,Mega Rayquaza EX,XY7: Bandit Ring,095/081,C_drift_nonstd,False,True,False,716x998,716x998,raw-front-v3
185,tcg300,157,pokemon,Marnie,S1H: Shield,068/060,C_drift_nonstd,False,True,False,716x1000,716x1000,raw-front-v3
186,tcg300,148,pokemon,Pikachu,SM-P: Sun & Moon Promos,224/SM-P,C_drift_nonstd,False,True,False,715x995,715x995,raw-front-v3
187,tcg300,178,pokemon,Eevee ex,SV8a: Terastal Fest ex,224/187,C_drift_nonstd,False,True,False,716x1000,716x1000,raw-front-v3
188,tcg300|op100,34,one-piece,Portgas D. Ace,2023 Japanese Manga Art,OP02-013,D_no_file,True,False,False,,792x608,
189,tcg300,161,pokemon,Pikachu,S10a: Dark Phantasma,073/071,C_drift_nonstd,False,True,False,716x1000,716x1000,raw-front-v3
190,tcg300,158,pokemon,Shining Magikarp,s8a-P: Promo Card Pack 25th Anniversary Edition,010/025,C_drift_nonstd,False,True,False,716x1000,716x1000,raw-front-v3
191,tcg300,168,pokemon,Vaporeon ex,SV8a: Terastal Fest ex,205/187,C_drift_nonstd,False,True,False,651x907,651x907,raw-front-v3
192,tcg300|op100,35,one-piece,Sanji,2025 Premium Booster: the Best Vol.2 (Prb-02) - English Manga Alt. Art Parallel (En Above Japan On Border),OP06-119,D_no_file,True,False,False,,1000x730,
193,tcg300,152,pokemon,Glaceon ex,SV8a: Terastal Fest ex,206/187,C_drift_nonstd,False,True,False,586x817,586x817,raw-front-v3
195,tcg300,165,pokemon,Charizard V,S4a: Shiny Star V,307/190,C_drift_nonstd,False,True,False,716x1000,716x1000,raw-front-v3
196,tcg300,183,pokemon,Mewtwo,SV2a: Pokemon Card 151,183/165,C_drift_nonstd,False,True,False,500x711,500x711,raw-front-v3
197,tcg300|op100,36,one-piece,Nami,2025 Card Game Promo Championship Offline Regionals Top  Prize,OP09-050,D_no_file,True,False,False,,1000x730,
198,tcg300,164,pokemon,Pikachu wearing a poncho,SM-P,037/SM-P,C_drift_nonstd,False,True,False,430x610,430x610,raw-front-v3
204,tcg300,169,pokemon,Gengar & Mimikyu GX,SM9: Tag Bolt,038/095,C_drift_nonstd,False,True,False,716x997,716x997,raw-front-v3
205,tcg300,173,pokemon,Mew,S12a: VSTAR Universe,183/172,C_drift_nonstd,False,True,False,707x1000,707x1000,raw-front-v3
207,tcg300,172,pokemon,Rosa,SM11b: Dream League,067/049,C_drift_nonstd,False,True,False,716x996,716x996,raw-front-v3
210,tcg300,179,pokemon,M Rayquaza EX,s8a-P: Promo Card Pack 25th Anniversary Edition,024/025,C_drift_nonstd,False,True,False,716x1000,716x1000,raw-front-v3
212,tcg300,167,pokemon,Flareon,SV-P Promotional cards「YU NAGABA×Pokemon Card Game」,065/SV-P,C_drift_nonstd,False,True,False,441x610,441x610,raw-front-v3
213,tcg300,171,pokemon,Armored Mewtwo,SM-P: Sun & Moon Promos,365/SM-P,C_drift_nonstd,False,True,False,715x994,715x994,raw-front-v3
214,tcg300,174,pokemon,Flareon ex,SV8a: Terastal Fest ex,202/187,C_drift_nonstd,False,True,False,531x746,531x746,raw-front-v3
218,tcg300,180,pokemon,Leafeon,SV-P Promotional cards「YU NAGABA×Pokemon Card Game」,068/SV-P,C_drift_nonstd,False,True,False,441x610,441x610,raw-front-v3
219,tcg300,175,pokemon,Jolteon ex,SV8a: Terastal Fest ex,209/187,C_drift_nonstd,False,True,False,515x721,515x721,raw-front-v3
222,tcg300,177,pokemon,Marnie,S4a: Shiny Star V,198/190,C_drift_nonstd,False,True,False,716x1000,716x1000,raw-front-v3
